Date,Energy,Bond
30/12/2011,619.47,126.91
02/01/2012,624.84,126.95
03/01/2012,633.81,127.66
04/01/2012,626.69,126.82
05/01/2012,619.51,126.23
06/01/2012,616.69,126.25
09/01/2012,623.16,126.48
10/01/2012,636.74,127.42
11/01/2012,656.86,127.1
12/01/2012,668.32,127.54
13/01/2012,651.14,126.75
16/01/2012,650.17,127.43
17/01/2012,659.29,128.06
18/01/2012,672.46,128.61
19/01/2012,666.21,129.29
20/01/2012,665.5,129.47
23/01/2012,664.68,130.44
24/01/2012,658.39,129.76
25/01/2012,659.88,129.44
26/01/2012,671.07,131.63
27/01/2012,683.94,131.5
30/01/2012,674.39,131.28
31/01/2012,668.66,131.61
01/02/2012,677.18,132.96
02/02/2012,684.05,133.01
03/02/2012,694.09,133.34
06/02/2012,697.24,132.92
07/02/2012,705.46,133.49
08/02/2012,713.32,133.7
09/02/2012,742.29,133.66
10/02/2012,727.5,132.54
13/02/2012,721.07,133.06
14/02/2012,709.26,132.61
15/02/2012,706.55,132.63
16/02/2012,706.97,132.16
17/02/2012,721.09,132.65
20/02/2012,726.36,133.6
21/02/2012,728.55,133.07
22/02/2012,722.16,132.7
23/02/2012,702.36,133.17
24/02/2012,695.03,133.87
27/02/2012,689.09,133.81
28/02/2012,694.67,134.16
29/02/2012,682.62,134.64
01/03/2012,681.68,134.29
02/03/2012,684.11,133.61
05/03/2012,675.19,133.24
06/03/2012,657.75,131.99
07/03/2012,655.61,131.94
08/03/2012,662.85,133.27
09/03/2012,669.41,132.89
12/03/2012,661.77,132.17
13/03/2012,673.44,132.64
14/03/2012,668.17,131.13
15/03/2012,674.38,131.81
16/03/2012,679.16,132.23
19/03/2012,673.45,132.69
20/03/2012,670.97,131.71
21/03/2012,662.83,131.64
22/03/2012,659.4,131.11
23/03/2012,665.56,131.73
26/03/2012,666.95,132.71
27/03/2012,667.31,132.49
28/03/2012,653.91,131.85
29/03/2012,648.98,131.61
30/03/2012,649.3,132.16
02/04/2012,647.71,132.41
03/04/2012,645.49,132.57
04/04/2012,631.44,130.87
05/04/2012,634.03,130.94
06/04/2012,634.54,130.96
09/04/2012,627.07,130.65
10/04/2012,622.16,130.2
11/04/2012,627.71,130.66
12/04/2012,630.25,131.55
13/04/2012,619.85,130.97
16/04/2012,619.89,130.71
17/04/2012,629.32,131.58
18/04/2012,624.4,131.47
19/04/2012,619.66,131.33
20/04/2012,616.04,131.81
23/04/2012,599.45,131.03
24/04/2012,601.47,131.72
25/04/2012,604.09,131.76
26/04/2012,602.72,132.06
27/04/2012,606.91,132.51
30/04/2012,605.54,132.48
01/05/2012,608.25,132.45
02/05/2012,604.19,132.21
03/05/2012,593.55,132.23
04/05/2012,589.87,131.56
07/05/2012,582.61,131.47
08/05/2012,577.22,130.69
09/05/2012,571.42,129.85
10/05/2012,574.98,130.03
11/05/2012,569.44,129.74
14/05/2012,555.22,128.58
15/05/2012,540.38,127.66
16/05/2012,530.44,127.35
17/05/2012,522.32,126.9
18/05/2012,505.97,126.9
21/05/2012,507.91,127.35
22/05/2012,510.73,127.55
23/05/2012,504.53,125.96
24/05/2012,505.78,126.95
25/05/2012,505.27,126.65
28/05/2012,507.29,127.19
29/05/2012,510.9,127.27
30/05/2012,505.72,126.11
31/05/2012,502.42,125.77
01/06/2012,492.17,125.71
04/06/2012,487.52,126.97
05/06/2012,492.58,126.9
06/06/2012,499.44,127.43
07/06/2012,502.77,127.8
08/06/2012,502.4,127.24
11/06/2012,498.14,127.74
12/06/2012,504.97,127.27
13/06/2012,502.39,128.21
14/06/2012,501.93,128.36
15/06/2012,515.28,129
18/06/2012,514.83,128.89
19/06/2012,523.89,129.96
20/06/2012,529.37,130.17
21/06/2012,518.3,129.45
22/06/2012,516.96,128.71
25/06/2012,507.84,128.16
26/06/2012,504.06,128.26
27/06/2012,508.28,128.42
28/06/2012,507.66,128.17
29/06/2012,522.58,130.72
02/07/2012,524.72,130.6
03/07/2012,530.31,130.96
04/07/2012,530.5,130.81
05/07/2012,522.63,130.67
06/07/2012,517.29,129.95
09/07/2012,507.61,130.22
10/07/2012,504.76,130.47
11/07/2012,504.22,130.64
12/07/2012,500.01,129.89
13/07/2012,499.12,130.72
16/07/2012,497.3,130.89
17/07/2012,493.06,131.06
18/07/2012,483.92,131.95
19/07/2012,485.3,132.18
20/07/2012,474.16,131.85
23/07/2012,459.83,130.88
24/07/2012,450.28,130.48
25/07/2012,443.62,130.38
26/07/2012,451.62,132.09
27/07/2012,458.78,132.46
30/07/2012,450.9,132.71
31/07/2012,458.82,133.23
01/08/2012,454.45,133.18
02/08/2012,455.01,132.51
03/08/2012,463.25,133.92
06/08/2012,476.74,134.31
07/08/2012,487.99,133.96
08/08/2012,491.65,134.06
09/08/2012,494.56,134.13
10/08/2012,489.88,134.5
13/08/2012,485.47,133.98
14/08/2012,489.17,133.73
15/08/2012,485.85,133.47
16/08/2012,494.56,133.56
17/08/2012,499.74,133.14
20/08/2012,502.8,133.5
21/08/2012,510.28,134.14
22/08/2012,505.11,133.72
23/08/2012,506.64,134.64
24/08/2012,503.92,134.24
27/08/2012,499.71,134.27
28/08/2012,501.95,134.21
29/08/2012,494.88,133.51
30/08/2012,479.05,133.13
31/08/2012,483,133.9
03/09/2012,484.8,133.36
04/09/2012,481.56,133.19
05/09/2012,478,133.21
06/09/2012,485.32,133.66
07/09/2012,494.51,135.24
10/09/2012,497.34,135.17
11/09/2012,494.89,135.68
12/09/2012,484.62,135.32
13/09/2012,488.48,135.36
14/09/2012,500.91,136.67
17/09/2012,500.16,136.27
18/09/2012,501.49,136.18
19/09/2012,507.01,136.58
20/09/2012,498.06,136.02
21/09/2012,501.54,136.31
24/09/2012,501.09,136
25/09/2012,500.06,136.74
26/09/2012,490.14,135.7
27/09/2012,499.06,136.57
28/09/2012,493.61,136.4
01/10/2012,496.8,136.3
02/10/2012,497.4,135.96
03/10/2012,490.36,135.05
04/10/2012,492.2,135.56
05/10/2012,494.24,135.59
08/10/2012,492.86,134.69
09/10/2012,485.01,134.53
10/10/2012,481.09,134.73
11/10/2012,486.9,134.93
12/10/2012,485.24,135.14
15/10/2012,487.83,134.85
16/10/2012,495.61,135.23
17/10/2012,503.34,135.99
18/10/2012,507.01,136.04
19/10/2012,492.77,135.8
22/10/2012,491.43,135.83
23/10/2012,473.47,134.69
24/10/2012,470.72,134.85
25/10/2012,472.58,134.93
26/10/2012,467.01,135.03
29/10/2012,469.21,135.05
30/10/2012,469.05,135.66
31/10/2012,468,135.45
01/11/2012,468.69,135.65
02/11/2012,464.59,135.14
05/11/2012,459.32,135.33
06/11/2012,467.13,135.54
07/11/2012,466.25,135.45
08/11/2012,462.03,135.22
09/11/2012,457.73,134.96
12/11/2012,451.94,135.01
13/11/2012,450.81,134.85
14/11/2012,446.62,134.52
15/11/2012,448.62,134.7
16/11/2012,452.29,134.38
19/11/2012,461.42,135.47
20/11/2012,456.7,134.99
21/11/2012,457.83,134.78
22/11/2012,459.59,135.36
23/11/2012,466.73,136.03
26/11/2012,475.16,136.34
27/11/2012,470.68,135.96
28/11/2012,470.23,136.12
29/11/2012,477.03,136.4
30/11/2012,477.52,136.25
03/12/2012,472.87,136.6
04/12/2012,477.88,137.05
05/12/2012,480.12,137.07
06/12/2012,484.96,137.29
07/12/2012,491.88,137.09
10/12/2012,491.28,137.01
11/12/2012,493.9,137.59
12/12/2012,501.8,137.69
13/12/2012,502.16,137.58
14/12/2012,508.82,137.48
17/12/2012,524.74,137.88
18/12/2012,518.21,138.25
19/12/2012,527.28,138.56
20/12/2012,533.28,138.63
21/12/2012,531.92,138.06
24/12/2012,528.54,137.85
25/12/2012,531.63,137.87
26/12/2012,529.69,138.03
27/12/2012,527.14,138.24
28/12/2012,518.51,138.46
31/12/2012,519.4,138.53
01/01/2013,519.4,138.55
02/01/2013,532.23,139.11
03/01/2013,540.58,138.35
04/01/2013,546.59,137.72
07/01/2013,543,138.38
08/01/2013,537.28,138.09
09/01/2013,545.42,138.12
10/01/2013,553.73,138.8
11/01/2013,554.6,138.73
14/01/2013,550.31,139.05
15/01/2013,552.23,138.7
16/01/2013,545.75,138.56
17/01/2013,545.09,138.6
18/01/2013,548.11,137.94
21/01/2013,545.59,138.12
22/01/2013,549.42,138.27
23/01/2013,548.75,138.02
24/01/2013,544.02,138.24
25/01/2013,538.7,138.55
28/01/2013,534.92,138.19
29/01/2013,535.36,138.74
30/01/2013,534.81,138.78
31/01/2013,531.39,139.14
01/02/2013,529.9,139.95
04/02/2013,524.8,139.54
05/02/2013,519.21,139.23
06/02/2013,527.78,139
07/02/2013,529.34,138.23
08/02/2013,525.51,138.39
11/02/2013,527.84,138.32
12/02/2013,534.17,138.83
13/02/2013,531.34,139.27
14/02/2013,539.72,139.18
15/02/2013,544.07,139.06
18/02/2013,541.79,138.88
19/02/2013,541.74,139.13
20/02/2013,545.53,139.06
21/02/2013,535.54,138
